cid	uid	sessionid	qid	dqid	q_s_id	log_q_ts	q_detail	min(log_q_ts)	max(log_q_ts)
3	4676A5A3-A477-AC40-7157-DB0FC662A2DC	NULL	4	D64D6519-FE16-8CBC-A703-B71946A77755	1	1583996536	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583996536	1583996709
3	344D89E9-34FF-E59C-249B-529C1CEED255	002571F8-AEB3-D3FF-D0EC-6C76DE521B90	4	4CE7F6A5-7AAC-732E-CD82-083971B9C8FF	1	1583991184	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583991184	1583991328
3	34663FDC-2631-ECDE-1C4D-0BE1AF33C2E7	0026EA69-6947-4EAC-39C3-EBA061749BFA	4	8FD40FFA-624B-764B-3D40-3063718EEEAB	1	1583983918	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583983918	1583983992
3	31CD1F9F-0C0C-CE1F-5CE2-23985BE5CA5E	00629B02-8081-495D-F680-83614F5EB505	4	8974B33D-E3B7-1587-408F-F00B8CF83DC4	1	1583975771	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583975771	1583975820
3	E71B808A-08AD-E094-0047-66F48B1355B0	00F886F1-216A-F0DD-2A85-312B3728E821	4	CD7B9C37-ECEC-BEB3-78D0-F772EB3B3450	1	1583979187	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583979187	1583979287
3	A1189091-0C5D-B6E5-F1BD-56FC1699F1FC	0120B7F6-1B57-86AF-8DF9-FDC8076501F8	4	DD98762D-9F70-B748-6CAD-949BCE9D0B61	1	1583974031	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583974031	1583974299
3	C6E643B1-608E-E453-7D16-09CDFA1C1002	036E38F8-DB97-1CE0-C240-9C160A2A153D	4	F0827BA1-00EA-F2C6-FF72-4798E0490E6F	1	1583990344	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583990344	1583990374
3	D5F336B7-0F73-2732-8A07-F495DB7F1E44	040C0481-943A-ACF2-665C-0D2286FBE61D	4	E5EBB8F1-2EBE-47B2-9864-BFE673DAFCCD	1	1583969216	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583969216	1583969306
3	2BBE1289-6371-13AF-AAA5-7A035A6D2D3A	05637D7B-A88E-28CE-305F-31C1794519CA	4	8DC79313-651F-9D1A-4A31-7C226B40EF84	1	1583989463	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583989463	1583989612
3	1CF8345C-F9AF-8797-1037-22F0883B00ED	05F7884C-C0C0-6927-97AE-16C8AC621CB9	4	E4047EAE-3212-9E6A-3613-55A30228C4E7	1	1583977154	{"level":1,"stage":1,"hasCompleted":true,"replayCount":"2"}	1583977154	1583977993
3	23B39B21-9ADD-6AB2-BCF5-BFCAE29ACC05	062818DC-A5CE-C9DF-05EC-73408FD38F13	4	EBFFA53B-6AE3-5AFE-9292-13AEEABBF359	1	1583965090	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583965090	1583965325
3	9C259BC3-1FD6-7579-6E32-B192B7F7D6F9	06476296-EAB3-73F2-7093-0D4A8273EF6A	4	1657C987-0E74-421C-22D1-5C8F9B913F5A	1	1584001572	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584001572	1584001613
3	A87C8C88-A270-C92C-6116-65D1DE5720AB	072C6727-DFE8-F01C-0E63-65F131179E02	4	D36B41C2-A0BC-7A20-8D36-5A96DD985F55	1	1583972842	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583972842	1583972867
3	5FAB4665-018F-F3EF-E17E-6E4E215596A9	07A500B2-6655-0759-75F2-2C00A4027B98	4	0C80A2AD-66CA-06C1-CB2F-4BA08D2E286A	1	1583905149	{"level":1,"stage":1,"hasCompleted":false}	1583905149	1583905403
3	D4FDFEF9-3F55-45CA-B8F5-C2EC0A320562	0863E10F-95F4-3AD9-4754-6044732006CD	4	2B2B584F-8B82-DE5B-FF93-32AD83C06195	1	1583996419	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583996419	1583996444
3	3093D5AD-A850-9949-1F4E-63CFE1308A1D	086E3820-BB67-B7E0-C343-C62A991A13C1	4	2095266F-D14D-DAAA-1B18-11213E685541	1	1583937841	{"level":1,"stage":1,"hasCompleted":false}	1583937841	1583938157
3	D59D0C9D-BD0E-85D2-F657-449A6977E684	0894DBC9-46B0-ACDA-84A5-44789C7B3D7E	4	1DE4251F-C371-7D38-1EED-A291F96C0013	1	1583968869	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583968869	1583968900
3	97E48A30-E4B3-4FD1-1E44-F57669CCE619	08BF67E4-4893-8BDE-2195-BABA141C476E	4	06A21F10-9B31-C900-D95B-D52CF3705A92	1	1583983323	{"level":1,"stage":1,"hasCompleted":false}	1583983323	1583983359
3	599329B2-868B-44BA-8CDD-70689D800017	09210112-45C5-F593-462F-B24C1A4D535C	4	BC9D500F-19EE-4F11-8B85-C13BD4D46C5B	1	1583921196	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583921196	1583921742
3	052DC084-C1AA-8FA6-3677-2A03DCE65F0B	09415C30-80BA-1F4B-19EA-630AA6B66C3C	4	8CE20A20-84D6-0E8B-D1D4-68F428CF014B	1	1583969112	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583969112	1583969138
3	CC9B5329-F08F-5C3E-5841-35ADAE353DD2	09AE3154-D918-D5D6-FBF5-1E74A1FCF16A	4	954D50A2-8541-576A-F736-FA953433A4D9	1	1583964003	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583964003	1583964052
3	E8AC236E-8A48-EBEA-7D65-FC7927A54009	0A9D0A3D-ACEA-24D7-9588-5C7D6BBE872D	4	B10797B3-4EB4-1C90-5721-C41B14F6AA84	1	1584005721	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584005721	1584005738
3	F85F28EC-9CFA-F358-E52E-B1652FA91CEF	0BE32004-3244-5959-96BE-00C343D449D1	4	EC0143B2-984A-8DDC-FEF5-4B98852947CE	1	1583952042	{"level":1,"stage":1,"hasCompleted":true,"replayCount":"2"}	1583952042	1583952058
3	A45D4DC5-7206-535F-EF2C-60C51995C743	0C9370FD-2AD0-CB28-D991-265240DA4D6A	4	3D22A4C4-A3F1-AA53-480F-3E158178EE53	1	1583933089	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583933089	1583933282
3	5EDB5393-D39D-DEE6-9D64-E972F85826A8	0CD34898-3652-8618-D9E2-CD60B5472A44	4	A200ECDD-7355-F79E-DC27-A3B555BF19AE	1	1583992764	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583992764	1583992887
3	DB72BA8D-19CF-E083-FDAA-C57E79B420E9	0DA95577-DD32-E7B3-ACFC-724F881B4FFE	4	057B90B2-2F58-5983-524E-E1870021C766	1	1583934506	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583934506	1583934559
3	83911829-60BD-AA33-62E3-7C3786329F59	0DB0155F-49E7-0DF0-D0F6-B3B46D00BE98	4	851943C3-FED0-6918-F717-A09D243B9009	1	1584004973	{"level":1,"stage":1,"hasCompleted":false}	1584004973	1584005254
3	DE98E0D9-D31D-6167-610B-CFB86CDA754E	0EB06EA3-E604-3275-850D-2131E55B425B	4	35BA42F0-2FCD-1224-AC9C-A52A83997C36	1	1583978492	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583978492	1583978527
3	3E8949E8-9961-F84E-050D-480E28BA7034	0F08F31E-134D-36E2-EFA8-C064077321C1	4	1F7E9429-09DB-5CCA-35D1-EFC47618341B	1	1584002601	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584002601	1584002665
3	F1033073-DCEF-CCDB-C4C4-8871C7AFABD1	0FAA0088-6CE1-AA08-12CE-5E9E3333F623	4	06A5EDE6-945F-B48D-F186-526F960324C3	1	1583970466	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583970466	1583970503
3	DE82FE52-2422-834D-A810-C96D3F30B00A	101E451A-467E-DA45-DCF7-DAEA3BE644CE	4	AF7225BB-E3AF-1ACA-9BB1-4FBE15A20925	1	1583947276	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583947276	1583947337
3	740E6ADE-ACC3-E7E1-0D4D-6AE7B578CC9F	1088AEBF-5337-8847-BCDE-94FA8D6AD10E	4	5B7CDDA3-DAEA-E801-B1D7-DFDD0CE501FF	1	1583967870	{"level":1,"stage":1,"hasCompleted":false}	1583967870	1583967965
